Archivo,SOC_INIT,SOC_END,DIF_SOC,POWER_CONSUMED,DISTANCIA,DURACION,VELOCIDAD_PROMEDIO,ELEVACION,DESCENSO
Ride_1.csv,21.8513,22.0118,-0.1605,-80.0,0.0,1,0.0,0,0
Ride_10.csv,39.6588,39.5568,0.102,0.0,0.072,1,0.0,11,20
Ride_100.csv,53.0911,35.1072,17.9839,3920.0,17.138,44,38.8,579,572
Ride_101.csv,62.0617,53.2632,8.7985,1840.0,7.483,35,19.44,342,232
Ride_102.csv,44.0433,40.4309,3.6124,640.0,6.794,11,41.95,122,238
Ride_103.csv,51.1881,46.2612,4.9269,1040.0,10.169,24,38.92,247,407
Ride_104.csv,34.7013,33.3812,1.3201,320.0,3.972,9,41.51,118,298
Ride_105.csv,67.8934,67.6093,0.2841,0.0,3.84,9,39.99,46,224
Ride_106.csv,67.2693,50.6493,16.62,3600.0,10.334,50,19.61,456,308
Ride_107.csv,39.5877,37.4286,2.1591,400.0,5.855,15,28.83,116,291
Ride_108.csv,78.6089,78.0295,0.5794,80.0,3.798,8,44.46,39,258
Ride_109.csv,77.9486,74.4352,3.5134,720.0,2.576,4,55.5,83,27
Ride_11.csv,39.4375,39.4375,0.0,0.0,0.041,3,0.0,17,20
Ride_110.csv,74.3685,72.4102,1.9583,320.0,1.289,4,28.21,57,44
Ride_111.csv,71.7431,69.7246,2.0185,480.0,3.447,5,62.53,118,151
Ride_112.csv,61.3461,62.3583,-1.0122,-320.0,3.779,10,33.44,68,226
Ride_113.csv,62.0141,60.032,1.9821,480.0,2.769,44,4.12,138,152
Ride_114.csv,58.1902,58.1794,0.0108,0.0,0.0,0,0.0,0,0
Ride_115.csv,51.7683,50.8134,0.9549,160.0,9288.026,12,20.85,237,-830
Ride_116.csv,50.7337,48.4252,2.3085,480.0,2.14,7,24.57,111,104
Ride_117.csv,48.3021,40.018,8.2841,1760.0,2.63,7,34.14,233,53
Ride_118.csv,39.7001,39.7001,0.0,0.0,0.0,0,0.0,0,0
Ride_119.csv,43.6936,44.9406,-1.247,-400.0,4.387,11,36.57,73,270
Ride_12.csv,18.8994,18.563,0.3364,80.0,0.226,4,4.62,12,6
Ride_120.csv,97.0625,69.6091,27.4534,5920.0,15.138,30,48.01,1006,459
Ride_121.csv,69.312,80.1646,-10.8526,-2400.0,7.254,22,30.36,109,994
Ride_122.csv,87.4396,87.3135,0.1261,-80.0,3.871,10,34.9,66,238
Ride_123.csv,87.1774,79.245,7.9324,1600.0,3.805,11,32.41,268,88
Ride_124.csv,79.1692,78.1847,0.9845,160.0,3.846,11,32.35,62,234
Ride_125.csv,78.0747,76.3595,1.7152,320.0,3.132,4,72.67,15,80
Ride_126.csv,76.2456,73.7892,2.4564,480.0,9.995,13,68.29,84,290
Ride_127.csv,64.7764,64.3373,0.4391,160.0,0.202,0,39.82,4,15
Ride_128.csv,51.4365,53.5631,-2.1266,-560.0,3.841,11,31.32,67,243
Ride_129.csv,70.6716,71.1534,-0.4818,-240.0,3.827,17,20.17,77,244
Ride_13.csv,40.5999,37.7561,2.8438,640.0,3.327,7,38.61,76,34
Ride_130.csv,71.0193,59.0441,11.9752,2560.0,18.458,24,70.26,216,323
Ride_131.csv,58.9314,30.2152,28.7162,6320.0,20.029,53,39.24,710,421
Ride_132.csv,42.0935,42.2127,-0.1192,0.0,0.0,0,0.0,0,0
Ride_133.csv,53.7393,53.775,-0.0357,-80.0,3.899,12,34.4,70,246
Ride_134.csv,53.5993,47.6231,5.9762,1280.0,3.376,10,44.51,199,135
Ride_135.csv,78.7266,77.0735,1.6531,320.0,3.733,17,20.55,74,244
Ride_136.csv,76.7351,56.6623,20.0728,4400.0,13.635,53,23.66,474,465
Ride_137.csv,65.1902,56.1204,9.0698,1920.0,10.048,18,55.0,307,310
Ride_138.csv,34.0454,33.7004,0.345,160.0,4.827,18,25.63,285,280
Ride_139.csv,48.6768,49.4416,-0.7648,-320.0,5.26,17,19.93,103,-152
Ride_14.csv,37.6308,36.1452,1.4856,320.0,1.198,7,15.71,49,38
